SiteCode,Class,Region_detail,Region,Note
NVAW1238,E,AW,West,
NVAW1242,P,AW,West,
NVAW1243,E,AW,West,
NVAW1244,P,AW,West,
NVAW1245,I,AW,West,
NVAW1247,I,AW,West,
NVAW9019,E,AW,West,Q&D inspection of logger data
NVAW9229,E,AW,West,Q&D inspection of logger data
NVAW9231,E,AW,West,Q&D inspection of logger data
NVWM1255,P,WM,West,
NVWM9034,E,WM,West,Q&D inspection of logger data
NYNE4129_V,I,NE,East,
NYNE8595_V,U,NE,East,
NYNE8602_B,I,NE,East,
NYNE8942_B,I,NE,East,
NYNE8943_B,P,NE,East,
NYNE8944_BO,U,NE,East,
NYNE9027_B,P,NE,East,
NYNE9028_B,I,NE,East,
NYNE9029_B,U,NE,East,
NYNE9030_B,I,NE,East,
NYNE9032_B,P,NE,East,
NYNE9111_B,I,NE,East,
NYNE9549_B,E,NE,East,
OHNE8283_B,P,NE,East,
OHNE8288_B,I,NE,East,
OHNE8419_B,E,NE,East,
OHNE8437_B,P,NE,East,
OHNE8465_B,I,NE,East,
OHNE8466_B,E,NE,East,
OHNE8471_B,E,NE,East,
OHNE8563_B,P,NE,East,
OHNE8605_V,E,NE,East,
OHNE8607_V,P,NE,East,
OHNE8621_V,E,NE,East,
OHNE8626_B,U,NE,East,
OHNE8633_B,I,NE,East,
OHNE8636_V,I,NE,East,
OHNE8640_V,E,NE,East,
OHNE8644_V,E,NE,East,
OHNE9125_B,I,NE,East,
OHNE9126_B,I,NE,East,
OHNE9127_B,P,NE,East,
OHNE9128_B,I,NE,East,
OKCB105,E,GP_C,GP,
OKCB37,E,GP_C,GP,
OKCB38,E,GP_C,GP,
OKCB39,I,GP_C,GP,
OKCB40,E,GP_C,GP,
OKCB41,U,GP_C,GP,
OKCB42,U,GP_C,GP,
OKCB43,I,GP_C,GP,
OKCV1073,P,GP_C,GP,
OKNE54_V,I,NE,East,
OKNE8133_B,I,NE,East,
OKNE9107_B,I,NE,East,
OKNE9194_B,U,NE,East,
OKNE9249_V,P,NE,East,
OKNE9439_B,E,NE,East,
OKNE9440_B,E,NE,East,
OKSE9161_B,I,SE,East,
OKSE9162_B,I,SE,East,
OKSE9266_B,I,SE,East,
OKSE9291_BO,I,SE,East,
OKSE9323_B,I,SE,East,
OKSE9354_B,P,SE,East,
OKSE9361_B,U,SE,East,
OKSE9559_V,I,SE,East,
OKSE9560_VO,I,SE,East,
OKSE9561_V,I,SE,East,
OKSE9562_V,I,SE,East,
OKSE9672_V,P,SE,East,
PANE0567_V,I,NE,East,
PANE3138_V,E,NE,East,
PANE3234_V,I,NE,East,
PANE3338_V,P,NE,East,
PANE3345_V,P,NE,East,
PANE8933_B,P,NE,East,
PANE9043_B,U,NE,East,
PANE9044_B,I,NE,East,
PANE9045_B,I,NE,East,
PANE9046_B,U,NE,East,
PANE9679_V,P,NE,East,
PANE9681_V,I,NE,East,
PANE9682_V,I,NE,East,
PANE9683_V,E,NE,East,
PRSE9539_B,U,CB,CB,
PRSE9540_B,P,CB,CB,
PRSE9541_B,P,CB,CB,
PRSE9542_B,U,CB,CB,
PRSE9543_B,P,CB,CB,
PRSE9544_B,U,CB,CB,
PRSE9545_B,I,CB,CB,
PRSE9546_B,E,CB,CB,
PRSE9547_B,I,CB,CB,
PRSE9586_V,P,CB,CB,
PRSE9587_V,P,CB,CB,
PRSE9588_V,U,CB,CB,
PRSE9589_V,P,CB,CB,
PRSE9590_V,P,CB,CB,
PRSE9597_B,E,CB,CB,
RINE4437_B,P,NE,East,
RINE9474_B,P,NE,East,
RINE9475_B,I,NE,East,
SCSE7520_V,P,SE,East,
SCSE7996_V,P,SE,East,
SCSE7998_V,I,SE,East,
SCSE8000_V,I,SE,East,
SCSE8328_V,E,SE,East,
SCSE8333_V,E,SE,East,
SCSE8336_B,I,SE,East,
SCSE8343_B,I,SE,East,
SCSE8347_B,P,SE,East,
SCSE8353_B,P,SE,East,
SCSE8359_B,P,SE,East,
SCSE8361_B,P,SE,East,
SCSE8363_B,E,SE,East,
SCSE8371_B,U,SE,East,
SCSE8377_B,P,SE,East,
